
ECLS Command-line scanner, version 12.1.34.0, (C) 1992-2019 ESET, spol. s r.o.
Module loader, version 1014 (20180123), build 1029
Module perseus, version 1552.4 (20190613), build 2033
Module scanner, version 19537 (20190617), build 41765
Module archiver, version 1288 (20190606), build 1299
Module advheur, version 1192 (20190204), build 1173
Module cleaner, version 1194 (20190522), build 1291

Command line: /clean-mode=none 

Scan started at:   Mon Jun 17 21:46:31 2019
name=".\sample_0BC3G.vir", result="a variant of Win32/Wisdoor trojan", action="", info=""
name=".\sample_0FEQ2.vir", result="Win32/NetSlayer.10 trojan", action="", info=""
name=".\sample_0kng4.vir", result="Win32/Opaserv.A worm", action="", info=""
name=".\sample_0RPhz.vir", result="Win32/Mydoom.R worm", action="", info=""
name=".\sample_1GvqV.vir", result="Win32/Frethem.A worm", action="", info=""
name=".\sample_1lQEl.vir", result="Win32/Nachi.G worm", action="", info=""
name=".\sample_1z2Vb.vir", result="Win32/Zafi.B worm", action="", info=""
name=".\sample_2bDwG.vir", result="Win32/Lolol.E:UPX worm", action="", info=""
name=".\sample_2BTUy.vir", result="Win32/Kipis.A worm", action="", info=""
name=".\sample_2kCbM.vir", result="Win32/Naco.A worm", action="", info=""
name=".\sample_2kyMz.vir", result="Win32/HackTool.Auha.20 trojan", action="", info=""
name=".\sample_2M16t.vir", result="Win32/New_Silencer.Beta trojan", action="", info=""
name=".\sample_2qLP1.vir", result="Win32/HackTool.Auha.24 trojan", action="", info=""
name=".\sample_2r7Zt.vir", result="Win32/Monator.A trojan", action="", info=""
name=".\sample_30Dce.vir", result="Win32/HackTool.Auha.30.A trojan", action="", info=""
name=".\sample_3BskU.vir", result="Win32/Roron.4999.C worm", action="", info=""
name=".\sample_3D3ts.vir", result="a variant of Win32/SilverFTP.A trojan", action="", info=""
name=".\sample_3eMnA.vir", result="Win32/Spear.C worm", action="", info=""
name=".\sample_3qpgP.vir", result="Win32/Fadedoor.10 trojan", action="", info=""
name=".\sample_43XOn.vir", result="Win32/Recovery.B worm", action="", info=""
name=".\sample_4AmpA.vir", result="Tiny.B trojan", action="", info=""
name=".\sample_4Cg7N.vir", result="Win32/Bagle.AQ worm", action="", info=""
name=".\sample_4fPg4.vir", result="Win32/Rescrip.A worm", action="", info=""
name=".\sample_4OJSl.vir", result="Win32/Tonerok.B trojan", action="", info=""
name=".\sample_4OjXH.vir", result="Win32/SpyBot.g4 worm", action="", info=""
name=".\sample_4ovZB.vir", result="Win32/Remscan trojan", action="", info=""
name=".\sample_59BoK.vir", result="Win32/Netspy.106 trojan", action="", info=""
name=".\sample_5aiQX.vir", result="Win32/Netsky.C worm", action="", info=""
name=".\sample_60eod.vir", result="Win32/Bagle.AL worm", action="", info=""
name=".\sample_64qSa.vir", result="Win32/Netsky.AB worm", action="", info=""
name=".\sample_6D61q.vir", result="Win32/MScr.N worm", action="", info=""
name=".\sample_6DL5j.vir", result="Win32/TheRipper.12.Server trojan", action="", info=""
name=".\sample_6eoqD.vir", result="Win32/Mydoom.A trojan", action="", info=""
name=".\sample_6JxLP.vir", result="IIS/Exploit.Hack.A trojan", action="", info=""
name=".\sample_6Napf.vir", result="Win32/HackTool.Auha.22 trojan", action="", info=""
name=".\sample_6PbyS.vir", result="Win32/PSW.Legendmir.KM trojan", action="", info=""
name=".\sample_6SpS7.vir", result="Win32/Solvina.A worm", action="", info=""
name=".\sample_72jII.vir", result="Win32/Zenmaster.102 trojan", action="", info=""
name=".\sample_7d7Wg.vir", result="Win32/Exploit.IE.Fearless trojan", action="", info=""
name=".\sample_876AK.vir", result="Win32/Netsky.E worm", action="", info=""
name=".\sample_8AHWq.vir", result="Win32/Sober.D worm", action="", info=""
name=".\sample_8hk14.vir", result="Win32/Spear.J worm", action="", info=""
name=".\sample_8nEog.vir", result="Win32/Flooder.Quake.B trojan", action="", info=""
name=".\sample_8OHj9.vir", result="Win32/Stopin.C worm", action="", info=""
name=".\sample_92Uwq.vir", result="Win32/Hackarmy.A trojan", action="", info=""
